,date,open,close,high,low,volume,code
3302,2018/11/6,3254.98,3243.15,3254.98,3213.9,83869138,hs300
3303,2018/11/7,3243.88,3221.91,3270.5,3218.42,91615528,hs300
3304,2018/11/8,3251.73,3212.77,3253.57,3207.71,76414540,hs300
3305,2018/11/9,3193.3,3167.44,3193.3,3166.31,84282762,hs300
3306,2018/11/12,3160.25,3205.14,3206.51,3152.44,88062391,hs300
3307,2018/11/13,3164.92,3237.38,3254.77,3161.1,126493464,hs300
3308,2018/11/14,3233.64,3204.94,3239.24,3200.23,113808659,hs300
3309,2018/11/15,3201.28,3242.37,3242.38,3198.78,98558810,hs300
3310,2018/11/16,3242.88,3257.67,3282.39,3223.72,126876835,hs300
3311,2018/11/19,3258.79,3294.6,3294.6,3251.07,115956595,hs300
3312,2018/11/20,3268.08,3218.41,3278.78,3213.68,109361154,hs300
3313,2018/11/21,3187.1,3226.49,3230.26,3185.24,84119726,hs300
3314,2018/11/22,3232.97,3214.43,3235.45,3199.7,65098291,hs300
3315,2018/11/23,3208.59,3143.48,3212.2,3139.39,84638255,hs300
3316,2018/11/26,3148.67,3141.24,3169.44,3131.64,59379140,hs300
3317,2018/11/27,3152.77,3137.24,3162.01,3126.29,55407832,hs300
3318,2018/11/28,3137.75,3178.93,3179.41,3126.62,74881955,hs300
3319,2018/11/29,3198.83,3137.65,3204.86,3137.65,80498466,hs300
3320,2018/11/30,3136.2,3172.69,3175.15,3132.42,70921044,hs300
3321,2018/12/3,3260.69,3260.95,3273.64,3228.36,121487157,hs300
3322,2018/12/4,3256.23,3267.71,3267.94,3243.7,79415039,hs300
3323,2018/12/5,3224.26,3252,3266.9,3219.98,76153052,hs300
3324,2018/12/6,3218.11,3181.67,3223.52,3179.89,76328771,hs300
3325,2018/12/7,3187.49,3181.56,3193.82,3176.71,53361924,hs300
3326,2018/12/10,3153.52,3144.76,3170.15,3134.38,63437273,hs300
3327,2018/12/11,3148.23,3159.82,3161.96,3143.61,53223877,hs300
3328,2018/12/12,3181.57,3170.61,3182.21,3160.28,53309914,hs300
3329,2018/12/13,3178.89,3219.69,3234.08,3169.42,90442755,hs300
3330,2018/12/14,3207.35,3165.91,3210.72,3165.91,84301250,hs300
3331,2018/12/17,3158.28,3161.2,3167.51,3134.37,66497007,hs300
3332,2018/12/18,3139.95,3128.43,3165,3114.47,63820319,hs300
3333,2018/12/19,3133.74,3091.13,3137.01,3086.76,55522299,hs300
3334,2018/12/20,3083.54,3067.42,3097.72,3044.29,69749463,hs300
3335,2018/12/21,3055.33,3029.4,3057.4,3007.61,76758101,hs300
3336,2018/12/24,3015.5,3038.2,3040.35,3007.33,57299615,hs300
3337,2018/12/25,3006.88,3017.28,3030.14,2964.88,78689425,hs300
3338,2018/12/26,3012.87,3002.03,3029.06,2996.48,55647032,hs300
3339,2018/12/27,3042.95,2990.51,3047.23,2990.51,80541785,hs300
3340,2018/12/28,2994.79,3010.65,3024.35,2984.82,71053779,hs300
3341,2019/1/2,3017.07,2969.54,3018.78,2958.49,68663021,hs300
3342,2019/1/3,2963.02,2964.84,3000.44,2953.25,70867103,hs300
3343,2019/1/4,2940.19,3035.87,3036.81,2935.83,103318972,hs300
3344,2019/1/7,3055.15,3054.3,3061.75,3035.91,101164359,hs300
3345,2019/1/8,3049.87,3047.7,3055.51,3038.53,86170585,hs300
3346,2019/1/9,3065.23,3078.48,3117.96,3062.85,107364350,hs300
3347,2019/1/10,3077.48,3072.69,3092.54,3062.57,85271756,hs300
3348,2019/1/11,3082.26,3094.78,3102.83,3071.03,71786424,hs300
3349,2019/1/14,3092.5,3067.78,3097.41,3064.38,66121702,hs300
3350,2019/1/15,3071.52,3127.99,3129.37,3064.67,88772962,hs300
3351,2019/1/16,3126.13,3128.65,3135.01,3117.29,80214341,hs300
3352,2019/1/17,3132.63,3111.42,3141.71,3110.06,80174871,hs300
3353,2019/1/18,3124.5,3168.17,3171.69,3120.35,103963834,hs300
3354,2019/1/21,3170.88,3185.64,3199.21,3170.88,93915022,hs300
3355,2019/1/22,3181.95,3143.32,3181.95,3135.34,72990528,hs300
3356,2019/1/23,3136.1,3141.05,3157.63,3131.87,59870478,hs300
3357,2019/1/24,3146.6,3158.78,3165.63,3125.3,72934636,hs300
3358,2019/1/25,3165.18,3184.47,3203.17,3164.41,83967729,hs300
3359,2019/1/28,3203.12,3183.78,3228.87,3174.72,82622431,hs300
3360,2019/1/29,3177.26,3193.97,3200.99,3148.23,77658334,hs300
3361,2019/1/30,3181.66,3168.48,3202.9,3167.89,63746517,hs300
3362,2019/1/31,3182.7,3201.63,3216.07,3178.01,86247839,hs300
3363,2019/2/1,3225.73,3247.4,3247.5,3207.72,82019641,hs300
3364,2019/2/11,3239.81,3306.47,3307.06,3239.81,98818434,hs300
3365,2019/2/12,3306.35,3330.34,3335.36,3298.63,122232462,hs300
3366,2019/2/13,3337.78,3397.03,3405.58,3329.14,163828332,hs300
3367,2019/2/14,3392.85,3402.14,3415.4,3381.98,151127290,hs300
3368,2019/2/15,3391.24,3338.7,3395.03,3335.87,143668603,hs300
3369,2019/2/18,3366.42,3445.74,3445.74,3366.42,182886089,hs300
3370,2019/2/19,3454.72,3439.61,3480.79,3419.07,179083785,hs300
3371,2019/2/20,3449.93,3451.93,3463.77,3421.5,147390311,hs300
3372,2019/2/21,3450.14,3442.71,3500.25,3431.63,180143287,hs300
3373,2019/2/22,3439.38,3520.12,3520.12,3417.98,187237974,hs300
3374,2019/2/25,3575.85,3729.48,3729.48,3574.69,342557122,hs300
3375,2019/2/26,3734.71,3684.69,3762.11,3679.27,358038698,hs300
3376,2019/2/27,3682.81,3678.39,3737.63,3638.33,286236007,hs300
3377,2019/2/28,3675.26,3669.37,3695.46,3650.05,184810220,hs300
3378,2019/3/1,3699.22,3749.71,3749.71,3668.77,204711004,hs300
3379,2019/3/4,3783.04,3794.1,3886.58,3764.78,323490126,hs300
3380,2019/3/5,3785.38,3816.01,3816.16,3770.79,230853166,hs300
3381,2019/3/6,3822.86,3848.09,3855.16,3787.52,318077371,hs300
3382,2019/3/7,3841.15,3808.85,3845.18,3778.8,329846548,hs300
3383,2019/3/8,3721.4,3657.58,3774.54,3656.19,317990077,hs300
3384,2019/3/11,3663.98,3729.95,3731.91,3650.81,230912865,hs300
3385,2019/3/12,3758.32,3755.35,3804.72,3723.68,274926382,hs300
3386,2019/3/13,3758.71,3724.19,3763.09,3708.81,233682248,hs300
3387,2019/3/14,3710.29,3698.49,3747.82,3673.85,190817237,hs300
3388,2019/3/15,3713.94,3745,3782.24,3713.94,175174544,hs300
3389,2019/3/18,3753.64,3851.75,3851.75,3733.68,216928060,hs300
3390,2019/3/19,3856.59,3833.96,3868.33,3815.22,181727110,hs300
3391,2019/3/20,3825.34,3835.44,3855.15,3790.51,175632090,hs300
3392,2019/3/21,3840.28,3836.89,3864.07,3823.47,196310310,hs300
3393,2019/3/22,3838.13,3833.8,3845.58,3786.59,171356993,hs300
3394,2019/3/25,3776.44,3742.83,3807.18,3741.61,198586329,hs300
3395,2019/3/26,3766.53,3700.44,3770.84,3687.55,173046579,hs300
3396,2019/3/27,3724.41,3743.39,3750.26,3703.45,138758454,hs300
3397,2019/3/28,3731.06,3728.4,3755.72,3710.08,133272129,hs300
3398,2019/3/29,3739.77,3872.34,3876.38,3739.77,215639103,hs300
3399,2019/4/1,3901.17,3973.93,3982.91,3901.17,271382704,hs300
3400,2019/4/2,3986.34,3971.29,3988.1,3956.51,226000341,hs300
3401,2019/4/3,3947.87,4022.16,4026.5,3939.78,231917368,hs300
3402,2019/4/4,4039.74,4062.23,4072.11,4021.71,260410939,hs300
3403,2019/4/8,4097.1,4057.23,4122.6,4017.49,267505576,hs300
3404,2019/4/9,4063.81,4075.43,4084.24,4038.28,182956808,hs300
3405,2019/4/10,4062.44,4085.85,4115.38,4035.47,194687613,hs300
3406,2019/4/11,4083.46,3997.58,4097.12,3990.24,169049641,hs300
3407,2019/4/12,3986.78,3988.62,4006.93,3961.46,135862118,hs300
3408,2019/4/15,4056.49,3975.52,4085.39,3974.23,182645571,hs300
3409,2019/4/16,3958.1,4085.79,4085.79,3943.49,202041966,hs300
3410,2019/4/17,4080.72,4087.24,4106.62,4057.5,180367117,hs300
3411,2019/4/18,4085.11,4072.08,4094.05,4056.24,146562123,hs300
3412,2019/4/19,4076.3,4120.61,4120.64,4046.2,150794910,hs300
3413,2019/4/22,4125.97,4025.61,4126.09,4015.47,189353745,hs300
3414,2019/4/23,4021.63,4019.01,4061.09,4005.28,155611650,hs300
3415,2019/4/24,4033.63,4030.09,4044.34,3967.81,145498695,hs300
3416,2019/4/25,4013.6,3941.82,4022.56,3938.33,159722071,hs300
3417,2019/4/26,3921.89,3889.27,3943.83,3887.25,142008068,hs300
3418,2019/4/29,3896.58,3900.33,3953.23,3875.45,153870927,hs300
3419,2019/4/30,3887.18,3913.21,3923.11,3885.15,116233376,hs300
3420,2019/5/6,3775.08,3684.62,3791.61,3647.14,197472882,hs300
3421,2019/5/7,3702.27,3720.67,3738.18,3671.83,132847654,hs300
3422,2019/5/8,3648.55,3667.46,3722.93,3642.5,112867355,hs300
3423,2019/5/9,3637.35,3599.7,3656.9,3584.82,101037394,hs300
3424,2019/5/10,3643.06,3730.45,3732.92,3589.29,148003847,hs300
3425,2019/5/13,3675.76,3668.73,3702.9,3658,103391860,hs300
3426,2019/5/14,3630.44,3645.15,3683.26,3630.44,102313460,hs300
3427,2019/5/15,3674.99,3727.09,3741.04,3674.99,110161769,hs300
3428,2019/5/16,3720.04,3743.96,3745.14,3707.9,116258274,hs300
3429,2019/5/17,3744.88,3648.76,3745.36,3637.58,128453245,hs300
3430,2019/5/20,3635.74,3617.79,3644.5,3583.83,108963477,hs300
3431,2019/5/21,3619.44,3666.78,3690.09,3610.68,111022920,hs300
3432,2019/5/22,3663.15,3649.38,3679.27,3634.75,98346128,hs300
3433,2019/5/23,3629.53,3583.96,3631.47,3578.11,99897781,hs300
3434,2019/5/24,3584.9,3593.91,3623.39,3580.79,80934048,hs300
3435,2019/5/27,3592.6,3637.2,3648.03,3556.26,108830871,hs300
3436,2019/5/28,3633.02,3672.26,3683.23,3627.79,117886240,hs300
3437,2019/5/29,3642.54,3663.91,3693.23,3637.35,93355441,hs300
3438,2019/5/30,3648.85,3641.18,3650.97,3612.62,94202561,hs300
3439,2019/5/31,3641,3629.79,3668.18,3627.54,89222267,hs300
3440,2019/6/3,3640.61,3632.01,3672.81,3613.13,100723180,hs300
3441,2019/6/4,3632.56,3598.47,3636.13,3584.46,87097094,hs300
3442,2019/6/5,3627.79,3597.1,3634.45,3593.95,88642020,hs300
3443,2019/6/6,3601.04,3564.68,3601.04,3557.02,85534403,hs300
3444,2019/6/10,3578.01,3610.74,3623.73,3568.28,92375061,hs300
3445,2019/6/11,3617.52,3719.28,3723.14,3617.52,143482806,hs300
3446,2019/6/12,3706.86,3691.1,3711.88,3683.94,119178853,hs300
3447,2019/6/13,3689.58,3685.39,3697.59,3654.27,96331718,hs300
3448,2019/6/14,3690.48,3654.88,3709.65,3650.91,101817004,hs300
3449,2019/6/17,3654.44,3654.82,3683.77,3645.5,72976678,hs300
3450,2019/6/18,3661.13,3667.62,3675.65,3638.78,70692266,hs300
3451,2019/6/19,3761.34,3715.94,3771.35,3715.13,125595715,hs300
3452,2019/6/20,3718.94,3828.52,3845.79,3717.19,168872073,hs300
3453,2019/6/21,3832.73,3833.94,3856.09,3817.31,153635155,hs300
3454,2019/6/24,3836.31,3841.27,3853.55,3819.77,100084621,hs300
3455,2019/6/25,3837.43,3801.31,3838.06,3755.01,124075912,hs300
3456,2019/6/26,3779.51,3794.33,3809.76,3771.72,81820283,hs300
3457,2019/6/27,3807.54,3834.82,3854.08,3805.83,105316358,hs300
3458,2019/6/28,3832.06,3825.59,3835.23,3803.05,84766139,hs300
3459,2019/7/1,3899.33,3935.81,3936.67,3886.91,158370340,hs300
3460,2019/7/2,3931.05,3937.17,3942.43,3918.94,131863496,hs300
3461,2019/7/3,3927.44,3893.53,3927.44,3878.84,111992603,hs300
3462,2019/7/4,3895.2,3873.1,3906.89,3854.69,99342256,hs300
3463,2019/7/5,3875.37,3893.2,3900.31,3857.93,74006527,hs300
3464,2019/7/8,3875.75,3802.79,3875.75,3775.03,109539086,hs300
3465,2019/7/9,3798.1,3793.13,3811.1,3774.76,74842732,hs300
3466,2019/7/10,3807.95,3786.74,3810.4,3774.23,72833948,hs300
3467,2019/7/11,3806.19,3785.22,3830.74,3774.41,75311965,hs300
3468,2019/7/12,3783.07,3808.73,3820.24,3774.52,75465967,hs300
3469,2019/7/15,3792.64,3824.19,3844.87,3745.85,101205222,hs300
3470,2019/7/16,3819.25,3806.84,3828.33,3799.87,80730952,hs300
3471,2019/7/17,3800.11,3804.64,3820.27,3787.9,95183885,hs300
3472,2019/7/18,3793.19,3768.4,3793.39,3768,87496445,hs300
3473,2019/7/19,3787.51,3807.96,3828.15,3787.51,88086149,hs300
3474,2019/7/22,3813.5,3781.68,3816.54,3765.44,92101377,hs300
3475,2019/7/23,3783.54,3789.91,3792.96,3768.76,71313346,hs300
3476,2019/7/24,3803.59,3819.83,3840.06,3803.57,90940684,hs300
3477,2019/7/25,3821.39,3851.07,3851.07,3812.95,93740417,hs300
3478,2019/7/26,3835.23,3858.57,3863.59,3832.52,83259300,hs300
3479,2019/7/29,3857.94,3854.27,3862.75,3842.43,84814370,hs300
3480,2019/7/30,3861.57,3870.32,3890.73,3861.57,94123955,hs300
3481,2019/7/31,3856.75,3835.36,3856.75,3830.09,82151155,hs300
3482,2019/8/1,3819.32,3803.47,3831.26,3791.55,84114180,hs300
3483,2019/8/2,3729.13,3747.44,3754.53,3720.06,108335897,hs300
3484,2019/8/5,3724.41,3675.69,3739.5,3675.69,101325981,hs300
3485,2019/8/6,3609.11,3636.33,3649.9,3575.86,129833871,hs300
3486,2019/8/7,3654.63,3621.43,3659.08,3621.43,84238716,hs300
