date,high,low,open,close,volume,code
2022.06.16,14.73,14.21,14.38,14.5,18643441,002317.SZ
2022.06.17,14.56,14.04,14.36,14.43,23221032,002317.SZ
2022.06.20,14.7,14.24,14.26,14.6,25520852,002317.SZ
2022.06.21,14.96,14.29,14.51,14.36,23967972,002317.SZ
2022.06.22,15.8,14.33,14.44,15.8,62596229,002317.SZ
2022.06.23,15.55,14.8,15.45,15.3,54920278,002317.SZ
2022.06.24,15.71,15.04,15.1,15.26,31719748,002317.SZ
2022.06.27,15.56,15.05,15.26,15.09,26289500,002317.SZ
2022.06.28,15.15,14.59,15.03,15.0,22602357,002317.SZ
2022.06.29,15.07,14.49,14.9,14.52,22952515,002317.SZ
2022.06.30,14.74,14.38,14.4,14.51,18807744,002317.SZ
2022.07.01,14.69,14.15,14.66,14.19,19941834,002317.SZ
2022.07.04,15.1,14.29,14.29,14.75,31350437,002317.SZ
2022.07.05,14.98,14.37,14.61,14.76,23050317,002317.SZ
2022.07.06,14.68,14.28,14.63,14.64,19722947,002317.SZ
2022.07.07,14.54,14.3,14.43,14.41,10840408,002317.SZ
2022.07.08,15.45,14.38,14.39,14.99,39173416,002317.SZ
2022.07.11,16.49,15.33,15.34,16.49,70706539,002317.SZ
2022.07.12,16.77,15.94,16.25,16.24,56326974,002317.SZ
2022.07.13,16.2,14.96,16.15,15.7,45424331,002317.SZ
2022.07.14,15.91,15.55,15.75,15.57,20683968,002317.SZ
2022.07.15,15.8,15.15,15.5,15.2,23445459,002317.SZ
2022.07.18,15.24,14.66,15.19,15.23,19938351,002317.SZ
2022.07.19,15.37,14.9,15.1,15.17,14270750,002317.SZ
2022.07.20,15.5,15.18,15.18,15.39,18742353,002317.SZ
2022.07.21,15.96,15.04,15.2,15.66,26967150,002317.SZ
2022.07.22,15.65,15.21,15.58,15.37,16025024,002317.SZ
2022.07.25,16.8,15.55,15.74,16.4,45482789,002317.SZ
2022.07.26,16.39,15.47,16.39,16.06,36364844,002317.SZ
2022.07.27,16.17,15.65,15.87,15.9,19325547,002317.SZ
2022.07.28,15.84,15.47,15.82,15.49,19718006,002317.SZ
2022.07.29,15.7,15.36,15.52,15.56,13263458,002317.SZ
2022.08.01,15.6,15.1,15.56,15.15,13396013,002317.SZ
2022.08.02,15.15,14.22,15.15,14.39,19543176,002317.SZ
2022.08.03,14.78,14.23,14.3,14.7,17242317,002317.SZ
2022.08.04,15.11,14.69,14.78,14.77,13235712,002317.SZ
2022.08.05,16.15,15.08,15.35,16.0,36466590,002317.SZ
2022.08.08,16.63,15.6,16.15,15.63,31091794,002317.SZ
2022.08.09,15.6,14.81,15.51,15.11,22534108,002317.SZ
2022.08.10,15.1,14.86,15.1,14.97,11875712,002317.SZ
2022.08.11,15.12,14.92,14.98,15.09,11634867,002317.SZ
2022.08.12,15.37,14.92,15.09,15.3,13126462,002317.SZ
2022.08.15,15.36,14.96,15.33,15.04,11244300,002317.SZ
2022.08.16,15.14,14.94,15.04,15.01,6895100,002317.SZ
2022.08.17,15.2,14.99,14.99,15.04,7020207,002317.SZ
2022.08.18,15.06,14.75,15.05,14.83,7903490,002317.SZ
2022.08.19,14.94,14.57,14.91,14.68,8573224,002317.SZ
2022.08.22,14.84,14.44,14.57,14.82,8303838,002317.SZ
2022.08.23,14.86,14.62,14.86,14.73,5363480,002317.SZ
2022.08.24,14.82,14.26,14.7,14.31,10116920,002317.SZ
2022.08.25,14.41,13.77,14.41,14.2,7289891,002317.SZ
2022.08.26,14.53,14.1,14.28,14.33,6464526,002317.SZ
2022.08.29,14.24,13.79,14.03,13.81,10607688,002317.SZ
2022.08.30,13.9,13.42,13.79,13.49,10851220,002317.SZ
2022.08.31,13.49,13.03,13.45,13.25,14063020,002317.SZ
2022.09.01,13.84,13.19,13.21,13.58,11234645,002317.SZ
2022.09.02,13.9,13.43,13.72,13.58,7783222,002317.SZ
2022.09.05,13.68,13.3,13.47,13.36,7450741,002317.SZ
2022.09.06,13.61,13.23,13.44,13.56,7912421,002317.SZ
2022.09.07,13.55,13.32,13.5,13.5,6319996,002317.SZ
2022.09.08,13.68,13.26,13.45,13.51,10106647,002317.SZ
2022.09.09,13.89,13.43,13.5,13.67,7911742,002317.SZ
2022.09.13,13.8,13.5,13.65,13.7,5830475,002317.SZ
2022.09.14,13.94,13.33,13.45,13.89,10691177,002317.SZ
2022.09.15,14.05,13.53,13.9,13.77,9272874,002317.SZ
2022.09.16,13.83,13.34,13.83,13.34,5685388,002317.SZ
2022.09.19,13.6,12.68,13.44,13.03,7669504,002317.SZ
2022.09.20,13.33,13.05,13.18,13.1,4604346,002317.SZ
2022.09.21,13.21,12.84,13.15,13.05,4969605,002317.SZ
2022.09.22,13.26,12.92,13.05,12.98,4150079,002317.SZ
2022.09.23,13.02,12.3,13.01,12.3,10084872,002317.SZ
2022.09.26,12.32,11.88,12.29,11.94,12242929,002317.SZ
2022.09.27,12.74,11.95,11.95,12.69,13490659,002317.SZ
